,id,name,lat,lon,locality,region,neighbourhood,geometry
0,23070446976,La mejor sauna,64.418932,25.220017,Alpua,Pohjois-pohjanmaan maakunta,,POINT (25.220017 64.418932)
1,50617719088,Cygnus cygnus,59.814013,21.560713,Pargas,Finland Proper,Jurmo,POINT (21.560713 59.814013)
2,48176569892,Kamera-67 goes Åland,59.964663,20.901986,Hellsö,Ålands skärgård,,POINT (20.901986 59.964663)
3,42155039490,På Åland...,60.483227,20.449994,Unknown,Kumlinge,,POINT (20.449994 60.483227)
4,50942825882,Sunday afternoon on ice,61.219097,24.417936,Hämeenlinna,Kanta-Hame,Niemikylät,POINT (24.417936 61.219097)
5,50838737498,"OH-990/NIL, Schempp-Hirth Duo Discus  x (474), Räyskälä 18th June 2018",60.746542,24.116899,Loppi,Kanta-Hame,Räyskälä,POINT (24.116899 60.746542)
6,50768971468,Hämeenlinna Medieval Festival,61.000491,24.460122,Hämeenlinna,Kanta-Hame,,POINT (24.460122 61.000491)
7,50842036532,"MG-124, Mikoyan-Gurevich MiG-21bis/T, On Display, Finnish (N75084151), Tuulonen 18th June 2018",61.105387,24.865,Hämeenlinna,Kanta-Hame,Pohjoinen,POINT (24.865 61.105387)
8,50617849172,an Eye,60.551772,23.306752,Salo,Finland Proper,Kanunki,POINT (23.306752 60.551772)
9,41483656140,Volvo FH4 - Finland,62.713055,21.611223,Pirttikylä,Pohjanmaan maakunta,,POINT (21.611223 62.713055)
10,12191511044,Xenomorph,66.137777,21.340555,Sandträsk,Norrbotten,,POINT (21.340555 66.137777)
11,48164382956,"Snæfellsjökull Glacier, Iceland",64.838716,23.402216,Raahe,North Ostrobothnia,,POINT (23.402216 64.83871600000001)
12,22414685724,WP_20151115_023,64.049297,21.439936,,Västerbottens Län,,POINT (21.439936 64.049297)
13,15918009587,Finland 2014-419,64.39643,23.006094,Ohtakari,Keski-Pohjanmaan maakunta,,POINT (23.006094 64.39643)
14,50589946918,Fisher in kukkola rapid holding his catch.,65.96235,24.039905,Kukkola,Norrbotten,,POINT (24.039905 65.96235)
15,50346242081,Windy sunset,65.408396,25.260937,Ii,North Ostrobothnia,Kuninkaanniemi,POINT (25.260937 65.408396)
16,50050756058,Pathway,66.226425,24.978433,Rovaniemi,Lapland,Leipee,POINT (24.978433 66.22642500000001)
17,10822369494,gfdsg,68.007571,22.5,Unknown,Norrbottens Län,,POINT (22.5 68.007571)
18,5755319265,IMG_1761,68.744039,20.562887,Unknown,Norrbottens Län,,POINT (20.562887 68.744039)
19,20918185430,Befaring i Anárjohka. Aili Keskitalo (Foto Camilla Pettersen_kld.dep),69.042983,25.310433,Unknown,Unknown,,POINT (25.310433 69.04298300000001)
20,14704482093,P1130344,68.880047,24.366875,Unknown,Finnmark Fylke,,POINT (24.366875 68.880047)
21,8339241972,Frozen Ballet,68.240661,24.818458,Pulju,Lapin maakunta,,POINT (24.818458 68.240661)
22,48154057921,DSC03448,62.302341,27.167408,Pieksämäki,Southern Savonia,,POINT (27.167408 62.302341)
23,49523891197,Karelia,61.540275,30.24078,Rantala,Karelia,,POINT (30.24078 61.540275)
24,21883285706,Finland,64.838484,27.069915,,Pohjois-pohjanmaan maakunta,,POINT (27.069915 64.83848399999999)
25,39939781261,2016 - Laponie (13),65.944441,26.461741,Ranua,Lapin maakunta,,POINT (26.461741 65.944441)
26,36901688733,Nature2,65.144166,27.645,Jaurakkajärvi,Pohjois-pohjanmaan maakunta,,POINT (27.645 65.144166)
27,44157083461,IMG_8379,65.567588,26.744197,Pudasjärvi,Pohjois-pohjanmaan maakunta,,POINT (26.744197 65.567588)
28,46092981725,2019-02-06_05-48-42,65.630652,27.620038,Pudasjärvi,Pohjois-pohjanmaan maakunta,,POINT (27.620038 65.630652)
29,49749349487,overflying Finland,65.979922,25.620147,Simo,Lapland,Pikkuoja,POINT (25.620147 65.979922)
30,27098533604,2016-06-16_07-23-32,69.906863,27.021566,Utsjoki,Lapin maakunta,,POINT (27.021566 69.906863)
31,33226841563,Space,69.671508,27.073885,Utsjoki,Lapin maakunta,,POINT (27.073885 69.671508)
32,32640085460,IMG_6130,69.293228,26.724243,,Lapin maakunta,,POINT (26.724243 69.293228)
33,50390336696,Pietarlauttasen huippu,68.535911,26.714512,Inari,Lapland,Paadari,POINT (26.714512 68.535911)
34,49527933967,Murmansk Oblast,68.727333,30.384991,Songel’skiy,Murmansk,,POINT (30.384991 68.727333)
35,47117521334,Peat-bog with natural looking cotton grass,69.00118,30.38918,Prirechnyy,Murmansk Oblast,,POINT (30.38918 69.00118000000001)
36,47166159591,,68.549766,28.929891,,Murmansk Oblast,,POINT (28.929891 68.54976600000001)
37,50189223238,I know you’ve got the sausages,61.216862,27.570673,Savitaipale,South Karelia,Säänjärvi,POINT (27.570673 61.216862)
38,48025580721,Melissa,60.024355,27.039891,Kotka,Kymeenlaakson maakunta,,POINT (27.039891 60.024355)
39,50371213942,,59.950569,30.21885,Vasyl'evsky Ostrov,Petrograd,,POINT (30.21885 59.950569)
40,49987358126,kuz2 (2),61.1346,29.951088,Rovnoye,Leningrad Oblast,,POINT (29.951088 61.1346)
41,50735901206,IMG_20190912_135902,60.645016,30.187608,Petrovskoye,Leningrad Oblast,,POINT (30.187608 60.645016)
42,50180977786,,60.505825,29.033388,Soldatskoye,Leningrad Oblast,,POINT (29.033388 60.505825)
43,40177861072,Porttipahta,68.111205,26.308963,Rovanen,Lapin maakunta,,POINT (26.308963 68.111205)
44,27675337675,Midnight sun in Lapland,67.500013,27.401726,Kiurujärvi,Lapin maakunta,,POINT (27.401726 67.500013)
45,22114906332,CDUII_Nagaoka4x5-20151006-001,67.466569,28.354876,Martti,Lapin maakunta,,POINT (28.354876 67.46656900000001)
46,31441772573,Salda littoralis,67.338736,29.359852,Salla,Lapin maakunta,,POINT (29.359852 67.338736)
47,14668671224,Karelia_0020,66.958113,30.338952,Alakurtti,Murmansk Oblast,,POINT (30.338952 66.958113)
